"","SurveyID","ProjectID","LocationName","Date","Collectors","Longitude","Latitude","SurveyTypeID","Plot.Name","SpeciesVarietalCode","SpeciesVarietalName","Measurement","CanopyID","Woody_DBH_cm","Woody_Height_m","ProjCode","Genus"
"1",6,"Heritage Oak Winery","RIP01","3/20/2012","G. Venicx, K. Swan, M. Vaghti, C. Guillen",-121.2,38.15,"Plant","RIP01","ACNE","Acer negundo",1,"",6.5,2.57,"HEROW","Acer"
"30",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",21,"",7.02,1.27,"HEROW","Acer"
"31",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",22,"",5.6,2.3,"HEROW","Acer"
"51",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",42,"",16,4.22,"HEROW","Acer"
"52",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",43,"",5,4.22,"HEROW","Acer"
"53",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",44,"",5.9,4.22,"HEROW","Acer"
"61",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",52,"",18.5,6.83,"HEROW","Acer"
"62",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",53,"",15.4,6.66,"HEROW","Acer"
"63",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",54,"",24.9,6.66,"HEROW","Acer"
"64",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",55,"",8.2,6.66,"HEROW","Acer"
"65",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",56,"",14.3,2.23,"HEROW","Acer"
"66",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",57,"",8.7,3.69,"HEROW","Acer"
"67",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",58,"",10.2,1.03,"HEROW","Acer"
"68",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",59,"",17,5.38,"HEROW","Acer"
"69",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",60,"",5.7,5.38,"HEROW","Acer"
"117",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","ACNE","Acer negundo",21,"",7.02,1.27,"HEROW","Acer"
"180",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","ACNE","Acer negundo",21,"",7.02,1.27,"HEROW","Acer"
"196",10,"Heritage Oak Winery","RIP05","3/21/2012","M. Vaghti",-121.19,38.16,"Plant","RIP05","ACNE","Acer negundo",21,"",7.02,1.27,"HEROW","Acer"
"231",11,"Heritage Oak Winery","RIP06","3/20/2012","Andrew, Nina, Carmen, Gitte",-121.2,38.16,"Plant","RIP06","ACNE","Acer negundo",32,"",9.2,-9999,"HEROW","Acer"
"268",11,"Heritage Oak Winery","RIP06","3/20/2012","Andrew, Nina, Carmen, Gitte",-121.2,38.16,"Plant","RIP06","ACNE","Acer negundo",69,"",5.1,-9999,"HEROW","Acer"
"275",11,"Heritage Oak Winery","RIP06","3/20/2012","Andrew, Nina, Carmen, Gitte",-121.2,38.16,"Plant","RIP06","ACNE","Acer negundo",76,"",5.2,-9999,"HEROW","Acer"
"292",11,"Heritage Oak Winery","RIP06","3/20/2012","Andrew, Nina, Carmen, Gitte",-121.2,38.16,"Plant","RIP06","ACNE","Acer negundo",21,"",7.02,1.27,"HEROW","Acer"
"311",12,"Heritage Oak Winery","RIP07","3/20/2012","K. Swan, B. Harlan, J. Romero, S. Tremayne",-121.2,38.15,"Plant","RIP07","ACNE","Acer negundo",16,"",8.8,6.8,"HEROW","Acer"
"312",12,"Heritage Oak Winery","RIP07","3/20/2012","K. Swan, B. Harlan, J. Romero, S. Tremayne",-121.2,38.15,"Plant","RIP07","ACNE","Acer negundo",17,"",7.2,6.8,"HEROW","Acer"
"368",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",1,"",24,9.2,"COSRP","Acer"
"369",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",2,"",7.5,9.2,"COSRP","Acer"
"370",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",3,"",20.5,9.2,"COSRP","Acer"
"371",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",4,"",13,9.2,"COSRP","Acer"
"372",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",5,"",17,9.2,"COSRP","Acer"
"373",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",6,"",17.5,9.2,"COSRP","Acer"
"374",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",7,"",15,9.2,"COSRP","Acer"
"375",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",8,"",18.1,9.2,"COSRP","Acer"
"376",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",9,"",15,9.2,"COSRP","Acer"
"378",26,"Cosumnes River Preserve","Tall Forest","7/24/2012","Liz, Hayawen, Melissa, Jackie, Mehrey",-121.41,38.27,"Plant","CRP04","ACNE","Acer negundo",11,"",55,9.2,"COSRP","Acer"
